   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1181	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.419      8.352         5.34239
     2      8.352      8.320         3.08240
     3      8.236      8.196         5.12309
     4      7.998      7.865        17.61509
     5      7.607      7.349        12.96909
     6      7.349      7.180        24.67517
     7      7.180      7.134         7.60002
     8      7.134      7.105         4.06018
     9      7.105      7.044         8.29299
    10      6.974      6.867         4.04065
    11      6.841      6.733        12.86605
    12      5.138      5.107        67.37673
    13      4.552      4.517        83.00693
    14      4.475      4.359        14.62146
    15      4.287      4.112        49.34484
    16      4.044      3.975        99.48644
    17      3.975      3.958         9.12020
    18      3.831      3.812        18.36227
    19      3.569      3.559        28.52542
    20      3.560      3.553        26.69771
    21      3.553      3.545        49.56245
    22      3.545      3.540        21.36735
    23      3.540      3.530        60.70911
    24      3.530      3.513        44.05546
    25      3.507      3.491        15.93534
    26      3.487      3.473        11.42415
    27      3.473      3.469         3.89823
    28      3.469      3.462         7.84481
    29      3.457      3.451         9.23158
    30      3.444      3.439         8.37253
    31      3.424      3.419         7.65754
    32      3.251      3.240        11.85786
    33      3.240      3.227        15.38842
    34      3.045      3.026         6.86789
    35      2.939      2.931         8.18838
    36      2.925      2.915        18.27963
    37      2.724      2.683        40.28220
    38      2.605      2.559        21.15967
    39      2.540      2.497         8.70086
    40      2.467      2.410        10.58468
    41      2.271      2.251        18.95009
    42      2.177      2.160        12.29270
    43      2.143      2.097        49.09958
    44      1.955      1.888       236.02812
    45      1.831      1.802        17.59989
    46      1.676      1.543        60.31547
    47      1.548      1.407        79.95778
    48      1.384      1.348        56.00292
    49      1.240      1.198       484.21615
    50      1.092      1.062       231.84762
    51      1.062      1.046        51.76858
    52      0.942      0.936         3.56429
    53      0.936      0.910        21.28999
    54      0.910      0.895         7.90809
    55      0.891      0.883         6.11954
    56      0.883      0.875         8.43153
    57      0.875      0.859        15.49552
    58      0.859      0.853         5.76689
    59      0.853      0.839        18.45411
    60      0.839      0.828        15.14702
    61      0.828      0.817        14.05041
    62      0.069      0.023         4.00000
