   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1127	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.370      8.323        10.46854
     2      8.252      8.164        12.87303
     3      7.998      7.867        43.15827
     4      7.595      7.372        25.00962
     5      7.345      7.230        34.47745
     6      7.230      7.175        26.74898
     7      7.175      7.125        20.22987
     8      7.125      7.101         7.75274
     9      7.101      7.040        18.40169
    10      6.839      6.701        37.59572
    11      5.140      5.105       204.30318
    12      4.557      4.502       276.84733
    13      4.412      4.401         1.24450
    14      4.296      4.101       123.66393
    15      4.043      4.028        12.80932
    16      4.028      3.973       247.19322
    17      3.973      3.951        26.04783
    18      3.826      3.810        29.58683
    19      3.571      3.513       648.30936
    20      3.507      3.492        48.44162
    21      3.488      3.469        39.68364
    22      3.469      3.455        25.44082
    23      3.455      3.439        81.94679
    24      3.439      3.420       132.42543
    25      3.420      3.401       105.09335
    26      3.400      3.383        96.70372
    27      3.275      3.257        61.88307
    28      3.242      3.225        63.80384
    29      3.052      3.023        53.65450
    30      2.941      2.931        26.06195
    31      2.925      2.916        30.92851
    32      2.719      2.682       171.30291
    33      2.603      2.552        55.48088
    34      2.548      2.499        24.07732
    35      2.465      2.405        29.19692
    36      2.263      2.247        35.63695
    37      2.166      2.159        15.37986
    38      2.123      2.104        62.76425
    39      1.944      1.902       479.24270
    40      1.812      1.804        16.45764
    41      1.703      1.526       215.56501
    42      1.526      1.407       186.18460
    43      1.407      1.329       219.51443
    44      1.231      1.197      1102.86817
    45      1.087      1.057       657.72458
    46      1.058      1.046       113.34528
    47      0.937      0.908        91.63061
    48      0.905      0.883        37.44049
    49      0.883      0.859       102.38582
    50      0.858      0.835       106.53486
    51      0.835      0.812        89.64189
    52      0.812      0.798        47.84008
    53      0.051      0.037         4.00000
